Session_ID,Scenario,Time(s),Packages,Timestamp,CPU_Cores,Memory_GB,Docker_Version,Python_Version
2025-08-25_09-47-19,Sequential-programmatic,20.06,10,2025-08-25 09:47:19,8,15.6,28.3.3,3.12.3
2025-08-25_09-47-19,Parallel-programmatic,4.28,10,2025-08-25 09:47:19,8,15.6,28.3.3,3.12.3
2025-08-25_09-48-55,Sequential-cli,19.81,10,2025-08-25 09:48:55,8,15.6,28.3.3,3.12.3
2025-08-25_09-48-55,Parallel-cli,4.02,10,2025-08-25 09:48:55,8,15.6,28.3.3,3.12.3
2025-08-25_09-49-38,Sequential-programmatic,18.65,10,2025-08-25 09:49:38,8,15.6,28.3.3,3.12.3
2025-08-25_09-49-38,Parallel-programmatic,8.19,4,2025-08-25 09:49:38,8,15.6,28.3.3,3.12.3
